2025-04-23 16:38:13 | CPU: 1.6% | MEM: 19.11% | DISK: 12%
2025-04-23 16:38:14 | CPU: 3.3% | MEM: 19.49% | DISK: 12%
2025-04-23 16:38:15 | CPU: 1.6% | MEM: 19.49% | DISK: 12%
2025-04-23 16:38:17 | CPU: 1.6% | MEM: 19.50% | DISK: 12%
2025-04-23 16:38:18 | CPU: 100% | MEM: 19.50% | DISK: 12%
2025-04-23 16:38:19 | CPU: 1.6% | MEM: 19.50% | DISK: 12%
2025-04-23 16:38:20 | CPU: 1.6% | MEM: 19.50% | DISK: 12%
2025-04-23 16:38:21 | CPU: 1.6% | MEM: 19.50% | DISK: 12%
2025-04-23 16:38:22 | CPU: 1.6% | MEM: 19.50% | DISK: 12%
2025-04-23 16:38:24 | CPU: 1.6% | MEM: 19.50% | DISK: 12%
2025-04-23 16:38:25 | CPU: 100% | MEM: 19.50% | DISK: 12%
2025-04-23 16:38:26 | CPU: 100% | MEM: 19.50% | DISK: 12%
2025-04-23 16:38:27 | CPU: 3.3% | MEM: 19.50% | DISK: 12%
2025-04-23 16:38:28 | CPU: 100% | MEM: 19.23% | DISK: 12%
2025-04-23 16:38:29 | CPU: 1.6% | MEM: 19.24% | DISK: 12%
2025-04-23 16:38:31 | CPU: 3.2% | MEM: 19.26% | DISK: 12%
2025-04-23 16:38:32 | CPU: 4.8% | MEM: 19.27% | DISK: 12%
2025-04-23 16:38:33 | CPU: 35.5% | MEM: 19.25% | DISK: 12%
2025-04-23 16:38:34 | CPU: 100% | MEM: 19.25% | DISK: 12%
2025-04-23 16:38:35 | CPU: 1.6% | MEM: 19.26% | DISK: 12%
2025-04-23 16:38:36 | CPU: 1.6% | MEM: 19.28% | DISK: 12%
2025-04-23 16:38:38 | CPU: 1.6% | MEM: 19.28% | DISK: 12%
2025-04-23 16:38:39 | CPU: 1.6% | MEM: 19.28% | DISK: 12%
2025-04-23 16:38:40 | CPU: 1.6% | MEM: 19.29% | DISK: 12%
2025-04-23 16:38:41 | CPU: 100% | MEM: 19.29% | DISK: 12%
2025-04-23 16:38:42 | CPU: 100% | MEM: 19.30% | DISK: 12%
2025-04-23 16:38:43 | CPU: 1.6% | MEM: 19.30% | DISK: 12%
2025-04-23 16:38:45 | CPU: 100% | MEM: 19.30% | DISK: 12%
2025-04-23 16:38:46 | CPU: 1.6% | MEM: 19.30% | DISK: 12%
2025-04-23 16:38:47 | CPU: 100% | MEM: 19.31% | DISK: 12%
2025-04-23 16:38:48 | CPU: 1.6% | MEM: 19.31% | DISK: 12%
2025-04-23 16:38:49 | CPU: 100% | MEM: 19.32% | DISK: 12%
2025-04-23 16:38:50 | CPU: 1.6% | MEM: 19.32% | DISK: 12%
2025-04-23 16:38:52 | CPU: 100% | MEM: 19.32% | DISK: 12%
2025-04-23 16:38:53 | CPU: 100% | MEM: 19.33% | DISK: 12%
2025-04-23 16:38:54 | CPU: 100% | MEM: 19.33% | DISK: 12%
2025-04-23 16:38:55 | CPU: 1.6% | MEM: 19.33% | DISK: 12%
2025-04-23 16:38:56 | CPU: 1.6% | MEM: 19.33% | DISK: 12%
2025-04-23 16:38:57 | CPU: 3.2% | MEM: 19.33% | DISK: 12%
